                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.0868,                0.65163,                 1.3032,                 0.9825,                0.94771,                0.98026,                0.70764,                 1.0069,                0.41023,                 1.2477,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0704,                0.64222,                 1.2951,                0.97905,                0.94649,                0.97982,                0.71209,                 1.0164,                0.40134,                 1.2572,               0.005842,               0.005842,               0.005842
                     86,                 1.0857,                0.64774,                  1.311,                0.97993,                0.95602,                0.98119,                0.71069,                 1.0012,                0.39394,                 1.2481,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0857,                0.63918,                 1.3006,                0.97949,                0.94598,                 0.9769,                0.71119,                0.99324,                0.40744,                  1.239,               0.005743,               0.005743,               0.005743
                     88,                 1.0852,                0.65302,                 1.3078,                0.98439,                0.94261,                0.97622,                0.70598,                 1.0013,                 0.4064,                 1.2466,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0795,                0.64823,                 1.3092,                0.97514,                0.95341,                0.98025,                0.71594,                0.98828,                0.39775,                 1.2359,               0.005644,               0.005644,               0.005644
                     90,                 1.0857,                0.63661,                 1.3008,                 0.9833,                0.95394,                0.97977,                0.70682,                 1.0017,                0.40437,                  1.244,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0766,                 0.6496,                 1.2982,                0.98521,                0.94449,                0.97835,                0.71558,                0.97815,                0.39709,                 1.2314,               0.005545,               0.005545,               0.005545
                     92,                  1.071,                0.63973,                 1.3027,                0.98512,                0.94733,                0.97981,                0.71154,                0.98439,                0.39485,                 1.2363,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0567,                0.62612,                 1.2873,                0.98367,                0.95273,                 0.9807,                0.71544,                0.98771,                 0.3888,                 1.2368,               0.005446,               0.005446,               0.005446
                     94,                 1.0692,                0.63379,                 1.2947,                 0.9772,                0.95138,                0.97685,                0.71104,                0.98706,                0.39702,                 1.2374,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0565,                0.61387,                 1.2783,                0.97754,                0.95273,                0.97986,                0.71879,                0.97624,                0.39318,                 1.2341,               0.005347,               0.005347,               0.005347
                     96,                  1.063,                0.63665,                 1.2899,                0.98415,                0.94531,                0.97833,                0.71482,                0.97805,                0.39506,                 1.2328,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0663,                0.64425,                  1.289,                 0.9851,                0.94598,                0.97858,                0.71276,                0.97178,                0.40078,                 1.2244,               0.005248,               0.005248,               0.005248
                     98,                 1.0565,                0.61436,                 1.2734,                0.97417,                0.95206,                 0.9799,                0.71205,                0.98134,                0.39677,                 1.2325,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0809,                0.63839,                 1.2913,                0.98184,                0.94938,                0.98104,                0.71914,                0.98064,                0.39345,                  1.229,               0.005149,               0.005149,               0.005149
                    100,                   1.06,                0.62777,                 1.2818,                0.98602,                0.95272,                0.97898,                0.71464,                0.98251,                0.39368,                 1.2335,              0.0050995,              0.0050995,              0.0050995
